Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (Add 1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
69,Polkastarter,UnoRe,UNO,"Polkadot, Ethereum",DeFi,"insurance, governance, staking",$ 368.54K,368540,$ 232.28K,232280,0.44x,0.44,1.44,10.19x,10.19,11.19,$ 200.00K,200000,$ 2.67M,2670000,4/27/2021,4/27/2021,6/2/2021,36,ACTIVE
70,Polkastarter,Sienna Network,SIENNA,"Secret Network, Ethereum",DeFi,"amm, governance, cross-chain",$ 3.70M,3700000,$ 533.92K,533920,0.14x,0.14,1.14,10.11x,10.11,11.11,$ 400.00K,400000,$ 11.20M,11200000,5/4/2021,5/4/2021,5/4/2021,0,ACTIVE
71,Polkastarter,Unbound Finance,UNB,"Ethereum, BNB, Polygon",DeFi,"cross-chain, amm, synthetic assets, dao, polygon ecosystem, bnb chain ecosystem",$ 1.59M,1590000,$ 138.95K,138950,0.14x,0.14,1.14,10.01x,10.01,11.01,$ 200.00K,200000,$ 1.15M,1150000,12/12/2021,12/12/2021,12/13/2021,1,ACTIVE
72,Polkastarter,Zodium,ZODI,BNB,GameFi,"nft, play to earn, cross-chain",$ 466.39K,466390,$ 57.98K,57980,0.04x,0.04,1.04,9.60x,9.60,10.6,$ 200.00K,200000,$ 3.55M,3550000,12/1/2021,12/1/2021,12/1/2021,0,ACTIVE
73,Polkastarter,Mecha Morphing,MAPE,BNB,GameFi,"play to earn, nft, metaverse",$ 42.36K,42360,$ 644.32K,644320,0.14x,0.14,1.14,9.36x,9.36,10.36,$ 400.00K,400000,$ 4.90M,4900000,3/28/2022,3/28/2022,4/7/2022,10,ACTIVE
74,Polkastarter,Strips Finance,STRP,"Ethereum, Arbitrum",DeFi,"bnb chain ecosystem, insurance, lending/borrowing, dex, derivatives",$ 957.69K,957690,$ 69.13K,69130,0.13x,0.13,1.13,8.83x,8.83,9.83,$ 500.00K,500000,$ 3.05M,3050000,10/12/2021,10/13/2021,10/13/2021,0,ACTIVE
75,Polkastarter,Drops,DOP,Ethereum,DeFi,"nft, staking, loan, governance, yield farming",$ 1.83M,1830000,$ 182.21K,182210,0.44x,0.44,1.44,8.24x,8.24,9.24,$ 200.00K,200000,$ 1.32M,1320000,5/20/2021,5/20/2021,5/20/2021,0,ACTIVE
76,Polkastarter,Totem,CTZN,"BNB, Ethereum",Blockchain Service,"bnb chain ecosystem, metaverse, nft, staking",$ 101.97K,101970,$ 4.28K,4280,0.10x,0.10,1.1,8.11x,8.11,9.11,$ 400.00K,400000,$ 762.50K,762500,12/13/2021,12/13/2021,12/16/2021,3,ACTIVE
77,Polkastarter,Kawaii Islands,KWT,BNB,GameFi,"play to earn, nft, bnb chain ecosystem, metaverse, marketplace",$ 373.50K,373500,$ 2.39K,2390,0.05x,0.05,1.05,7.69x,7.69,8.69,$ 250.00K,250000,$ 2.65M,2650000,10/11/2021,10/12/2021,11/22/2021,41,ACTIVE
78,Polkastarter,MOBLAND,SYNR,Ethereum,GameFi,"dao, governance, marketplace, metaverse, play to earn, staking",$ 373.97K,373970,$ 188.39K,188390,0.73x,0.73,1.73,7.35x,7.35,8.35,$ 500.00K,500000,$ 900.00K,900000,1/19/2022,1/19/2022,2/9/2022,21,ACTIVE
79,Polkastarter,Orbitau,TAUM,BNB,GameFi,"bnb chain ecosystem, nft, play to earn, staking, marketplace, governance",$ 24.22K,24220,$ 58.91K,58910,0.08x,0.08,1.08,7.09x,7.09,8.09,$ 245.00K,245000,$ 3.57M,3570000,2/22/2022,2/22/2022,2/22/2022,0,ACTIVE
80,Polkastarter,Crypto Fight Club,FIGHT,BNB,GameFi,"bnb chain ecosystem, nft, play to earn, staking",$ 145.24K,145240,$ 19.10K,19100,0.09x,0.09,1.09,6.89x,6.89,7.89,$ 250.00K,250000,$ 3.38M,3380000,12/16/2021,12/16/2021,12/25/2021,9,ACTIVE
81,Polkastarter,NiiFi,NIIFI,Ethereum,DeFi,"amm, loan, governance",$ 117.71K,117710,$ 30.89K,30890,0.08x,0.08,1.08,6.55x,6.55,7.55,$ 225.00K,225000,$ 275.00K,275000,6/1/2021,6/1/2021,6/2/2021,1,ACTIVE
82,Polkastarter,Paralink Network,PARA,"BNB, Ethereum",Blockchain Service,"cross-chain, oracle, polkadot ecosystem, governance",$ 366.17K,366170,$ 9.10K,9100,0.03x,0.03,1.03,5.66x,5.66,6.66,$ 300.00K,300000,$ 3.10M,3100000,5/23/2021,5/23/2021,5/23/2021,0,ACTIVE
83,Polkastarter,Tenet,TEN,Ethereum,DeFi,"cross-chain, amm",$ 912.36K,912360,0,0,0.51x,0.51,1.51,5.65x,5.65,6.65,$ 300.00K,300000,$ 1.30M,1300000,1/4/2021,1/4/2021,4/1/2021,87,INACTIVE
84,Polkastarter,e-Money,NGM,Ethereum,CeFi,"staking, payments, avalanche ecosystem, polygon ecosystem, amm, wallet",$ 31.18M,31180000,$ 256.51K,256510,0.95x,0.95,1.95,5.52x,5.52,6.52,$ 150.00K,150000,$ 2.05M,2050000,1/18/2021,1/18/2021,4/5/2021,77,ACTIVE
85,Polkastarter,Rainmaker Games,RAIN,Ethereum,GameFi,"gaming guild, play to earn, nft, marketplace, cross-chain",$ 3.25M,3250000,$ 1.14M,1140000,0.28x,0.28,1.28,5.38x,5.38,6.38,$ 500.00K,500000,$ 7.54M,7540000,12/15/2021,12/15/2021,1/2/2022,18,ACTIVE
86,Polkastarter,FreshCut,FCD,Polygon,Social,"social network, social media, polygon ecosystem",$ 857.39K,857390,$ 472.18K,472180,0.40x,0.40,1.4,4.97x,4.97,5.97,$ 500.00K,500000,$ 8.96M,8960000,5/9/2022,5/9/2022,5/11/2022,2,ACTIVE
87,Polkastarter,TosDis,DIS,Ethereum,DeFi,"staking, yield farming, bnb chain ecosystem",$ 257.64K,257640,$ 17.63K,17630,0.07x,0.07,1.07,4.97x,4.97,5.97,$ 450.00K,450000,$ 1.95M,1950000,1/17/2021,1/17/2021,2/5/2021,19,ACTIVE
88,Polkastarter,Phuture,PHTR,Ethereum,Blockchain Service,"governance, staking, index",$ 1.00M,1000000,$ 5.71K,5710,0.11x,0.11,1.11,4.90x,4.90,5.9,$ 250.00K,250000,$ 1.78M,1780000,6/2/2021,6/2/2021,6/2/2021,0,ACTIVE
89,Polkastarter,WOMBAT,WOMBAT,"Ethereum, Polygon",Blockchain Service,"governance, polygon ecosystem, nft",$ 1.68M,1680000,$ 198.92K,198920,1.67x,1.67,2.67,4.67x,4.67,5.67,$ 600.00K,600000,$ 6.80M,6800000,7/26/2022,7/27/2022,7/28/2022,1,ACTIVE
90,Polkastarter,Nitro League,NITRO,"Polygon, Ethereum",GameFi,"marketplace, metaverse, nft, play to earn, polygon ecosystem",$ 1.08M,1080000,$ 71.72K,71720,0.42x,0.42,1.42,4.43x,4.43,5.43,$ 750.00K,750000,$ 750.00K,750000,12/12/2021,12/12/2021,12/15/2021,3,ACTIVE
91,Polkastarter,Galaxy Fight Club,GCOIN,Polygon,GameFi,"collectibles, nft, play to earn, polygon ecosystem",$ 2.34M,2340000,$ 42.40K,42400,0.22x,0.22,1.22,4.36x,4.36,5.36,$ 2.00M,2000000,$ 2.64M,2640000,1/5/2022,1/5/2022,1/11/2022,6,ACTIVE
