Project id,Launchpad,Project Name,Ticker Symbol,Blockchain,Category,Sub-Category,Market Cap,Market Cap (modified),Volume 24 hr,Volume 24 hr (modified),TGE ROI,TGE ROI (modified),TGE Mod 2 (add +1),ATH TGE ROI,ATH TGE ROI (modified),ATH TGE mod 2 (add 1),Raise by Launchpad,Raise by Launchpad (modified),Total Raise ,Total Raise (modified),IDO Start Date,IDO End Date,ATH Date,Days to reach ATH,Status
27,DAO Maker,Vent Finance,VENT,"Polygon, BNB, Ethereum",DeFi,"launchpad, staking, governance, polygon ecosystem, dapp",$ 4.07M,4070000,$ 30.50K,30500,0.88x,0.88,1.88,42.59x,42.59,43.59,$ 168.00K,168000,$ 1.19M,1190000,9/9/2021,9/9/2021,9/22/2021,13,ACTIVE
28,DAO Maker,Gamium,GMM,BNB,GameFi,"metaverse, bnb chain ecosystem",$ 12.20M,12200000,$ 567.43K,567430,4.79x,4.79,5.79,41.15x,41.15,42.15,$ 200.00K,200000,$ 2.84M,2840000,2/28/2022,3/2/2022,4/2/2022,31,ACTIVE
29,DAO Maker,Warena,RENA,BNB,GameFi,"play to earn, metaverse, nft",$ 724.87K,724870,$ 9.59K,9590,0.26x,0.26,1.26,40.48x,40.48,41.48,$ 100.00K,100000,$ 1.55M,1550000,10/5/2021,10/6/2021,11/24/2021,49,ACTIVE
30,DAO Maker,Starpunk,SRP,BNB,GameFi,"dao, nft, play to earn, bnb chain ecosystem",$ 178.10K,178100,$ 9.33K,9330,0.25x,0.25,1.25,40.10x,40.10,41.1,$ 116.00K,116000,$ 1.95M,1950000,9/22/2021,9/23/2021,11/24/2021,62,ACTIVE
31,DAO Maker,Fear,FEAR,"Ethereum, BNB",GameFi,"nft, play to earn, staking, yield farming",$ 2.25M,2250000,$ 329.43K,329430,1.55x,1.55,2.55,38.82x,38.82,39.82,$ 95.00K,95000,$ 1.24M,1240000,5/17/2021,5/19/2021,11/28/2021,193,ACTIVE
32,DAO Maker,VAIOT,VAI,Ethereum,Blockchain Service,artifical intelligence,$ 2.04M,2040000,$ 273.47K,273470,0.15x,0.15,1.15,37.47x,37.47,38.47,$ 250.00K,250000,$ 7.10M,7100000,2/9/2021,2/13/2021,4/1/2021,47,ACTIVE
33,DAO Maker,Infinity Pad,IPAD,"BNB, Ethereum",DeFi,"governance, launchpad, staking",$ 3.94M,3940000,$ 14.88K,14880,3.23x,3.23,4.23,36.48x,36.48,37.48,$ 100.00K,100000,$ 700.00K,700000,7/4/2021,7/11/2021,11/28/2021,140,ACTIVE
34,DAO Maker,Dark Frontiers,DARK,BNB,GameFi,"bnb chain ecosystem, metaverse, nft, play to earn",$ 1.16M,1160000,$ 52.09K,52090,0.94x,0.94,1.94,35.95x,35.95,36.95,$ 125.00K,125000,$ 3.65M,3650000,9/30/2021,10/3/2021,11/28/2021,56,ACTIVE
35,DAO Maker,Lossless Protocol,LSS,"Ethereum, BNB",Blockchain Infrastructure,"staking, security",$ 13.56M,13560000,$ 206.25K,206250,3.06x,3.06,4.06,34.32x,34.32,35.32,$ 200.00K,200000,$ 2.70M,2700000,5/27/2021,5/29/2021,10/18/2021,142,ACTIVE
36,DAO Maker,KAKA NFT,KAKA,BNB,NFT,"bnb chain ecosystem, metaverse, marketplace, nft",$ 567.54K,567540,$ 43.07K,43070,0.27x,0.27,1.27,33.56x,33.56,34.56,$ 150.00K,150000,$ 2.35M,2350000,11/18/2021,11/21/2021,11/25/2021,4,ACTIVE
